"program","omitted_cohort","k","pooled_rho","ci_low","ci_high","tau2","i2"
"myeloid_context","GSE89408",6,0.410739155484002,0.0915355101704499,0.653399330794136,0.0567943995509875,31.4166302093473
"myeloid_context","GSE283079",6,0.595034466522689,0.221336272103104,0.816353880164831,0.175429980063193,55.5782933016705
"interferon_state","none",7,0.213635164040503,-0.0874563177406011,0.478960823160913,0.0570537458525809,36.221337274144
"interferon_state","GSE206848",6,0.198570460709082,-0.141718776342417,0.496889170222934,0.0800413453852193,46.7617416224429
"interferon_state","GSE55235",6,0.219317186929543,-0.127072646859429,0.51802799023409,0.078953380498364,44.8264517450754
"interferon_state","GSE55457",6,0.283111637167815,-0.0157923426800142,0.535565622135166,0.0433544494526944,30.8501675411014
"interferon_state","GSE55584",6,0.246816724984467,-0.0639869972557708,0.513973515189735,0.0583335054602857,39.538362953901
"interferon_state","GSE82107",6,0.246158937894339,-0.085001576077533,0.52834529775325,0.0665699406569723,40.6539476885636
"interferon_state","GSE89408",6,0.117000015454506,-0.132628007261398,0.352670750408021,0,0
"interferon_state","GSE283079",6,0.154489239975736,-0.258089377929769,0.51941097317347,0.123593865848175,46.8498132131358
"fibroblast_ecm","none",7,0.01557523143819,-0.250449346163568,0.279412911412547,0.0304372044112038,23.2526747808928
"fibroblast_ecm","GSE206848",6,-0.0174023392648786,-0.297437078157059,0.265389470346094,0.0358814252073078,28.2511946524704
"fibroblast_ecm","GSE55235",6,0.0178391772556076,-0.295126421947423,0.327347674199059,0.0547543890131152,36.0386905439846
"fibroblast_ecm","GSE55457",6,-0.0432864530127562,-0.300725579830635,0.220032343364289,0.0179799714694615,15.6133308456579
"fibroblast_ecm","GSE55584",6,0.0554863833830117,-0.166261396923529,0.27189240604575,0,0
"fibroblast_ecm","GSE82107",6,-0.00905465777255645,-0.312041277036274,0.295603722617375,0.048420436062905,33.2561857557005
"fibroblast_ecm","GSE89408",6,0.0755288248335723,-0.251066931742445,0.38668565250852,0.0467331714436551,27.3746584875342
"fibroblast_ecm","GSE283079",6,0.0170529226248699,-0.347676118572063,0.377299412891779,0.0786967931659104,35.9491213130207
"osteoclast_context","none",7,-0.0133626357364686,-0.228397477996949,0.202915348778565,0,0
"osteoclast_context","GSE206848",6,-0.0482209993633952,-0.266493878387484,0.174756648994794,0,0
"osteoclast_context","GSE55235",6,-0.00237407339989737,-0.227711732938411,0.223204942673841,0,0
"osteoclast_context","GSE55457",6,0.00845676840229729,-0.217417316265325,0.23347116242761,0,0
"osteoclast_context","GSE55584",6,-0.00598534191592229,-0.225409707057708,0.214016914990592,0,0
"osteoclast_context","GSE82107",6,-0.0257302985366061,-0.249741059297555,0.20089466376191,0,0
"osteoclast_context","GSE89408",6,0.0151291203996451,-0.231545599798288,0.259975899774412,0,0
"osteoclast_context","GSE283079",6,-0.0377310390577267,-0.312798428605364,0.243175484019279,0,0
